"Item","Quantity","Value","Link"
"Keyswitches","1","$14.99","amazon.com/Leezmark-Mechanical-Dustproof-Replacement-Keyboards/dp/B0GV78B48N/ref=mp_s_a_1_20_sspa?crid=2GGAVKPX5GKH&dib=eyJ2IjoiMSJ9.BS9ZW8A40QZK6iI4UmdZkYcVp812RDtM8dzqQtxJq5kz5jddC0aGCLYpUDj6oWZM4geYAz7LL5dJKQJ_sMRCqYbuT9Zwzy20VnrTvVNVI-2PMGM8y_OT_gXPSKltVj0ZCmtBrzLAvtF8hVyPpS-bcG8HSGX4meJ7BWVw4GwyFBtzq-VV4k_-OB3_U29mYmabBNX5P_2u1xLUz0WsYM_SZg.sOaHXiIPD6Bd4c6RHFdcsiI9AAYZXd1oFGZit3XfvzE&dib_tag=se&keywords=mechanical+keyboard+switches&qid=1786102391&sprefix=mecha%2Caps%2C1667&sr=8-20-spons&xpid=P4xuzyhmO1Kis&sp_csd=d2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfbXRm&psc=1"
"SK6812 Mini-E","1","$10.95","https://www.amazon.com/Lizusidtsy-Similar-Individually-Addressable-500076361/dp/B0D62PYX62/ref=mp_s_a_1_10?crid=1HXPOB1FA28BI&dib=eyJ2IjoiMSJ9.9VtPip6eaOO1-XFGgh2XxRcv7goQ3zQpYu2U5s9L9nSHVgE9buEYKNyEW3iah_ciC9jxtcFWsezkLg6mPwawYLvC0YwcBautoxVQw8uHIajIIKaw2BAEOz0msTKg2i1JiFDcOfpwOktIFD5m-rM-sLH5aurg7jONQpTc9ztb7qjGY4VW4UKlHhBSvXDKLMnpFN1p0uSk9QlHmR1fMhQoKQ.cp7zFL1gJURH3RVmt4PrTOWDThkTRaVYkx8k7CsSdDU&dib_tag=se&keywords=sk6812+mini+e&qid=1786102738&s=industrial&sprefix=sk6812+mini+e%2Cindustrial%2C227&sr=1-10-catcorr"
"EC11 Rotary Encoder","1","$6.99","https://www.amazon.com/CGNRONEAU-Potentiometer-Raspberry-Electronics-Projects/dp/B0G48Z8B9Q/ref=mp_s_a_1_5?crid=SJZ3ZTB60ZB5&dib=eyJ2IjoiMSJ9.DXj00Da7o69UiffMrM5wQRPYTBTu96F7xG_REVVFTXyDDE7Ct_VRsisag9rFMKgkTnHD1maKyGOHqHwwsa9QOm4nJbuxf-u1h8I8Xeu_QS-_GGyZhZ7IW7rUedH8wyPUQpJnUpBYRTrw7qkoa3L6uI7fxGQ1JdWoYiTZq1MJnh7YbKwp_SVgYWuv54q8JgQ_uJAa0EScvo-vtg_HxxVShA.oFRLtfeS884kGRJ9817n1MkEJusgqgWJDlI8D6AScFo&dib_tag=se&keywords=ec11+rotary+encoder&qid=1786102850&s=industrial&sprefix=ec11+rotary+encoder%2Cindustrial%2C296&sr=1-5"
"Keycap Set","1","$13.99","https://www.amazon.com/Womier-Doubleshot-Universal-Compatiability-Switches/dp/B0DD3MFZJH/ref=mp_s_a_1_4?dib=eyJ2IjoiMSJ9.NYb-M_oBXZ4sYXBFeumxLCGVNsY9r-6v4MP0X_NiII59u2l-eoBS-fSIwKjgQw8UQnKp5aItpglhW1_vmJ5Zi3Ai9TdxAWYqoLRUdImCShzhl38JPSy1eJCwtC9gqwE5WcnlIVPYZwyoVEbIaEuOxTBP47_ipk5BJsu7sIIcEQwtiRsUoIT2AKQ4hwcLJanAgVfd3swCPsz1cHzkkB3fEA.LHY6OJX_2Vt0jXq0Am2Od0HAyrY-O1Iw68TDGDFU8LQ&dib_tag=se&keywords=keycap%2Bset&qid=1786102952&sr=8-4&th=1"
"Stabilizer Set (PCB Mount)","1","$18.99","https://www.amazon.com/DUROCK-Stabilizers-Translucent-Keyboard-Mechanical/dp/B0B2RVN19F/ref=mp_s_a_1_1?crid=RUCGVW5PCSL7&dib=eyJ2IjoiMSJ9.FUE_jABwKLA1OASEMhZRJdxEw5T6Pmde5A4peNgmaHbFq5e1Nyw0ducx_W87F-YdPvY6Z0F0Ws9Z5KWRT10otnbc7i3mqQ-KSsT8q0_UoKFDrMQOU2Zr7UFsQVD8SH_3jzvns1ANBC4ikHp7kZKjsS9mrpaVKSuOX6QgBT75oK6L6rT38cDrAPZf1bMy2eiDNbRMvr3UK6Jnu7D304s7ww.Ds4MVNaTUXEreelnZ5y9dkQEI_1UVwucidZDuxVlDSo&dib_tag=se&keywords=keyboard%2Bstabilizer%2Bpcb%2Bmount&qid=1786103068&sprefix=keyboard%2Bstabilizer%2Bpcb%2Bmoun%2Cpc%2C281&sr=8-1&th=1"
"0.1 uF 0805 Capacitor","10","$0.45","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B104KBCNNNC/3886661"
"10uF 1206 Capacitor","2","$0.52","https://www.digikey.com/en/products/detail/taiyo-yuden/TMK316BJ106ML-T/1172143"
"1N4148TR Diode","83","$3.36","https://www.digikey.com/en/products/detail/onsemi/1N4148TR/458811"
"Rasberry Pi Pico","1","$4.59","https://www.digikey.com/en/products/detail/raspberry-pi/SC0915/13624793"
"Rasberry Pi Pico 2","1","$6.12","https://www.digikey.com/en/products/detail/raspberry-pi/SC1631/24627136"
"SN74HCT245PWR","1","$0.88","https://www.digikey.com/en/products/detail/texas-instruments/SN74HCT245PWR/376998"
